game,away,home,away-score,home-score,date,attendance
360403130,TOR,TB,5.0,3.0,2016-04-03,"31,042"
360404101,MIN,BAL,2.0,3.0,2016-04-04,"45,785"
360404130,TOR,TB,5.0,3.0,2016-04-04,"15,116"
360405110,HOU,NYY,5.0,3.0,2016-04-05,"47,820"
360405105,BOS,CLE,6.0,2.0,2016-04-05,"34,493"
360405130,TOR,TB,2.0,3.0,2016-04-05,"12,757"
360406130,TOR,TB,3.0,5.0,2016-04-06,"14,257"
360406105,BOS,CLE,6.0,7.0,2016-04-06,"10,298"
360406101,MIN,BAL,2.0,4.0,2016-04-06,"12,622"
360406110,HOU,NYY,6.0,16.0,2016-04-06,"37,493"
360407110,HOU,NYY,5.0,8.0,2016-04-07,"30,003"
360407101,MIN,BAL,2.0,4.0,2016-04-07,"11,142"
360408114,BOS,TOR,8.0,7.0,2016-04-08,"48,871"
360408101,TB,BAL,1.0,6.0,2016-04-08,"17,304"
360408106,NYY,DET,0.0,4.0,2016-04-08,"45,049"
360409114,BOS,TOR,8.0,4.0,2016-04-09,"47,138"
360409106,NYY,DET,8.0,4.0,2016-04-09,"32,419"
360410114,BOS,TOR,0.0,3.0,2016-04-10,"46,158"
360410101,TB,BAL,3.0,5.0,2016-04-10,"23,101"
400836044,TB,BAL,3.0,5.0,2016-04-10,"23,101"
360411102,BAL,BOS,9.0,7.0,2016-04-11,"37,160"
360412114,NYY,TOR,3.0,2.0,2016-04-12,"28,819"
360412102,BAL,BOS,9.0,5.0,2016-04-12,"31,114"
360412130,CLE,TB,1.0,5.0,2016-04-12,"10,283"
360413102,BAL,BOS,2.0,4.0,2016-04-13,"31,011"
360413114,NYY,TOR,2.0,7.0,2016-04-13,"27,938"
360413130,CLE,TB,4.0,1.0,2016-04-13,"10,117"
360414114,NYY,TOR,2.0,4.0,2016-04-14,"36,238"
360414130,CLE,TB,6.0,0.0,2016-04-14,"10,715"
360414113,BAL,TEX,3.0,6.0,2016-04-15,"22,820"
360415110,SEA,NYY,7.0,1.0,2016-04-15,"35,531"
360415102,TOR,BOS,3.0,5.0,2016-04-15,"31,415"
360415130,CHW,TB,1.0,0.0,2016-04-15,"16,801"
360415113,BAL,TEX,11.0,5.0,2016-04-16,"32,628"
360416110,SEA,NYY,3.0,2.0,2016-04-16,"38,574"
360416102,TOR,BOS,2.0,4.0,2016-04-16,"36,267"
360416130,CHW,TB,2.0,7.0,2016-04-16,"30,451"
360416113,BAL,TEX,4.0,8.0,2016-04-17,"39,493"
360417110,SEA,NYY,3.0,4.0,2016-04-17,"43,856"
360417130,CHW,TB,2.0,3.0,2016-04-17,"21,810"
360417102,TOR,BOS,5.0,3.0,2016-04-17,"37,217"
360418102,TOR,BOS,4.0,3.0,2016-04-18,"37,168"
360419102,TB,BOS,3.0,0.0,2016-04-19,"32,061"
360419101,TOR,BAL,4.0,3.0,2016-04-19,"16,783"
360419110,OAK,NYY,3.0,2.0,2016-04-19,"31,952"
360420101,TOR,BAL,3.0,4.0,2016-04-20,"15,404"
360420110,OAK,NYY,5.0,2.0,2016-04-20,"37,396"
360420102,TB,BOS,3.0,7.0,2016-04-20,"31,689"
360421102,TB,BOS,12.0,8.0,2016-04-21,"37,954"
360421101,TOR,BAL,2.0,3.0,2016-04-21,"17,644"
360421110,OAK,NYY,7.0,3.0,2016-04-21,"33,818"
360422110,TB,NYY,3.0,6.0,2016-04-22,"31,843"
360422114,OAK,TOR,8.0,5.0,2016-04-22,"34,251"
360423118,BOS,HOU,3.0,8.0,2016-04-23,"40,232"
360423107,BAL,KC,8.0,3.0,2016-04-23,"39,900"
360423114,OAK,TOR,3.0,9.0,2016-04-23,"46,334"
360422118,BOS,HOU,6.0,2.0,2016-04-23,"26,672"
360422107,BAL,KC,2.0,4.0,2016-04-23,"29,546"
360423110,TB,NYY,2.0,3.0,2016-04-23,"40,714"
360424110,TB,NYY,8.0,1.0,2016-04-24,"40,981"
360424114,OAK,TOR,3.0,6.0,2016-04-24,"46,300"
360424107,BAL,KC,1.0,6.0,2016-04-24,"34,748"
360424118,BOS,HOU,7.0,5.0,2016-04-25,"32,416"
360425114,CHW,TOR,7.0,5.0,2016-04-25,"24,333"
360425115,BOS,ATL,1.0,0.0,2016-04-25,"22,735"
