,game,away,home,away-score,home-score,date,attendance,winner
0,360403130,TOR,TB,5.0,3.0,2016-04-03,"31,042",TOR
1,360404101,MIN,BAL,2.0,3.0,2016-04-04,"45,785",BAL
2,360404130,TOR,TB,5.0,3.0,2016-04-04,"15,116",TOR
3,360405110,HOU,NYY,5.0,3.0,2016-04-05,"47,820",HOU
4,360405105,BOS,CLE,6.0,2.0,2016-04-05,"34,493",BOS
5,360405130,TOR,TB,2.0,3.0,2016-04-05,"12,757",TB
6,360406130,TOR,TB,3.0,5.0,2016-04-06,"14,257",TB
7,360406105,BOS,CLE,6.0,7.0,2016-04-06,"10,298",CLE
8,360406101,MIN,BAL,2.0,4.0,2016-04-06,"12,622",BAL
9,360406110,HOU,NYY,6.0,16.0,2016-04-06,"37,493",NYY
10,360407110,HOU,NYY,5.0,8.0,2016-04-07,"30,003",NYY
11,360407101,MIN,BAL,2.0,4.0,2016-04-07,"11,142",BAL
12,360408106,NYY,DET,0.0,4.0,2016-04-08,"45,049",DET
13,360408101,TB,BAL,1.0,6.0,2016-04-08,"17,304",BAL
14,360408114,BOS,TOR,8.0,7.0,2016-04-08,"48,871",BOS
15,360409106,NYY,DET,8.0,4.0,2016-04-09,"32,419",NYY
16,360409114,BOS,TOR,8.0,4.0,2016-04-09,"47,138",BOS
17,360410114,BOS,TOR,0.0,3.0,2016-04-10,"46,158",TOR
18,360410101,TB,BAL,3.0,5.0,2016-04-10,"23,101",BAL
19,400836044,TB,BAL,3.0,5.0,2016-04-10,"23,101",BAL
20,360411102,BAL,BOS,9.0,7.0,2016-04-11,"37,160",BAL
21,360412114,NYY,TOR,3.0,2.0,2016-04-12,"28,819",NYY
22,360412102,BAL,BOS,9.0,5.0,2016-04-12,"31,114",BAL
23,360412130,CLE,TB,1.0,5.0,2016-04-12,"10,283",TB
24,360413102,BAL,BOS,2.0,4.0,2016-04-13,"31,011",BOS
25,360413114,NYY,TOR,2.0,7.0,2016-04-13,"27,938",TOR
26,360413130,CLE,TB,4.0,1.0,2016-04-13,"10,117",CLE
27,360414130,CLE,TB,6.0,0.0,2016-04-14,"10,715",CLE
28,360414114,NYY,TOR,2.0,4.0,2016-04-14,"36,238",TOR
29,360415130,CHW,TB,1.0,0.0,2016-04-15,"16,801",CHW
30,360415102,TOR,BOS,3.0,5.0,2016-04-15,"31,415",BOS
31,360414113,BAL,TEX,3.0,6.0,2016-04-15,"22,820",TEX
